1,Multiples of 3 and 5,"<p>If we list all the natural numbers below 10 that are multiples of 3 or 5, we get 3, 5, 6 and 9. The sum of these multiples is 23.</p>
<p>Find the sum of all the multiples of 3 or 5 below 1000.</p>",5,October,2001,508163,5
2,Even Fibonacci numbers,"<p>Each new term in the Fibonacci sequence is generated by adding the previous two terms. By starting with 1 and 2, the first 10 terms will be:</p>
<p style=""text-align:center;"">1, 2, 3, 5, 8, 13, 21, 34, 55, 89, ...</p>
<p>By considering the terms in the Fibonacci sequence whose values do not exceed four million, find the sum of the even-valued terms.</p>",19,October,2001,415529,5
3,Largest prime factor,"<p>The prime factors of 13195 are 5, 7, 13 and 29.</p>
<p>What is the largest prime factor of the number 600851475143 ?</p>",2,November,2001,301115,5
4,Largest palindrome product,"<p>A palindromic number reads the same both ways. The largest palindrome made from the product of two 2-digit numbers is 9009 = 91 × 99.</p>
<p>Find the largest palindrome made from the product of two 3-digit numbers.</p>",16,November,2001,271430,5
5,Smallest multiple,"<p>2520 is the smallest number that can be divided by each of the numbers from 1 to 10 without any remainder.</p>
<p>What is the smallest positive number that is <dfn title=""divisible with no remainder"">evenly divisible</dfn> by all of the numbers from 1 to 20?</p>",30,November,2001,283324,5
6,Sum square difference,"<p>The sum of the squares of the first ten natural numbers is,</p>
<div style=""text-align:center;"">1<sup>2</sup> + 2<sup>2</sup> + ... + 10<sup>2</sup> = 385</div>
<p>The square of the sum of the first ten natural numbers is,</p>
<div style=""text-align:center;"">(1 + 2 + ... + 10)<sup>2</sup> = 55<sup>2</sup> = 3025</div>
<p>Hence the difference between the sum of the squares of the first ten natural numbers and the square of the sum is 3025 − 385 = 2640.</p>
<p>Find the difference between the sum of the squares of the first one hundred natural numbers and the square of the sum.</p>",14,December,2001,285136,5
7,10001st prime,"<p>By listing the first six prime numbers: 2, 3, 5, 7, 11, and 13, we can see that the 6th prime is 13.</p>
<p>What is the 10 001st prime number?</p>",28,December,2001,244342,5
8,Largest product in a series,"<p>The four adjacent digits in the 1000-digit number that have the greatest product are 9 × 9 × 8 × 9 = 5832.</p>
<p style=""font-family:'courier new';text-align:center;"">
73167176531330624919225119674426574742355349194934<br/>
96983520312774506326239578318016984801869478851843<br/>
85861560789112949495459501737958331952853208805511<br/>
12540698747158523863050715693290963295227443043557<br/>
66896648950445244523161731856403098711121722383113<br/>
62229893423380308135336276614282806444486645238749<br/>
30358907296290491560440772390713810515859307960866<br/>
70172427121883998797908792274921901699720888093776<br/>
65727333001053367881220235421809751254540594752243<br/>
52584907711670556013604839586446706324415722155397<br/>
53697817977846174064955149290862569321978468622482<br/>
83972241375657056057490261407972968652414535100474<br/>
82166370484403199890008895243450658541227588666881<br/>
16427171479924442928230863465674813919123162824586<br/>
17866458359124566529476545682848912883142607690042<br/>
24219022671055626321111109370544217506941658960408<br/>
07198403850962455444362981230987879927244284909188<br/>
84580156166097919133875499200524063689912560717606<br/>
05886116467109405077541002256983155200055935729725<br/>
71636269561882670428252483600823257530420752963450<br/></p>
<p>Find the thirteen adjacent digits in the 1000-digit number that have the greatest product. What is the value of this product?</p>",11,January,2002,211128,5
9,Special Pythagorean triplet,"<p>A Pythagorean triplet is a set of three natural numbers, <var>a</var> &lt; <var>b</var> &lt; <var>c</var>, for which,</p>
<div style=""text-align:center;""> <var>a</var><sup>2</sup> + <var>b</var><sup>2</sup> = <var>c</var><sup>2</sup></div>
<p>For example, 3<sup>2</sup> + 4<sup>2</sup> = 9 + 16 = 25 = 5<sup>2</sup>.</p>
<p>There exists exactly one Pythagorean triplet for which <var>a</var> + <var>b</var> + <var>c</var> = 1000.<br/>Find the product <var>abc</var>.</p>",25,January,2002,211049,5
10,Summation of primes,"<p>The sum of the primes below 10 is 2 + 3 + 5 + 7 = 17.</p>
<p>Find the sum of all the primes below two million.</p>",8,February,2002,193789,5
